Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
-2.335226, 07/18/2019 12:27:46.327, -13.96145, -169.0891, 11.39025
-2.408051, 07/18/2019 12:27:46.341, -14.82079, -168.1395, 11.5534
-2.476398, 07/18/2019 12:27:46.357, -15.64842, -166.9616, 12.34439
-2.540371, 07/18/2019 12:27:46.372, -15.80395, -165.7309, 13.10805
-2.599996, 07/18/2019 12:27:46.387, -17.28378, -164.6698, 13.20395
-2.655229, 07/18/2019 12:27:46.403, -18.87411, -163.1447, 14.62855
-2.706432, 07/18/2019 12:27:46.419, -19.82254, -161.4686, 16.16768
-2.753909, 07/18/2019 12:27:46.433, -19.69826, -159.8909, 17.06863
-2.797892, 07/18/2019 12:27:46.449, -20.65859, -158.6097, 16.90037
-2.838889, 07/18/2019 12:27:46.462, -20.54455, -156.9682, 17.8197
-2.877357, 07/18/2019 12:27:46.477, -21.40772, -155.6228, 17.66719
-2.913675, 07/18/2019 12:27:46.492, -20.32825, -153.9529, 18.49404
-2.948338, 07/18/2019 12:27:46.506, -20.10567, -152.8848, 17.37992
-2.981782, 07/18/2019 12:27:46.522, -20.90057, -151.6094, 17.12389
-3.014365, 07/18/2019 12:27:46.537, -22.05185, -150.0043, 17.88621
-3.046456, 07/18/2019 12:27:46.551, -23.9625, -148.2168, 19.00539
-3.078339, 07/18/2019 12:27:46.566, -22.53822, -146.0807, 20.88416
-3.110225, 07/18/2019 12:27:46.581, -23.70872, -144.9426, 19.428
-3.142242, 07/18/2019 12:27:46.595, -24.06246, -143.0275, 20.56648
-3.174431, 07/18/2019 12:27:46.611, -25.03447, -141.3038, 20.88803
-3.206753, 07/18/2019 12:27:46.626, -23.51698, -139.3425, 21.82771
-3.239075, 07/18/2019 12:27:46.640, -23.5104, -138.1625, 20.2779
-3.271191, 07/18/2019 12:27:46.655, -23.79896, -136.5851, 20.23921
-3.302807, 07/18/2019 12:27:46.671, -24.78172, -134.9092, 20.49615
-3.333532, 07/18/2019 12:27:46.685, -24.64703, -132.9744, 21.44819
-3.362974, 07/18/2019 12:27:46.700, -25.37727, -131.3483, 21.28405
-3.390645, 07/18/2019 12:27:46.716, -26.35695, -129.4374, 21.98663
-3.415976, 07/18/2019 12:27:46.732, -26.65976, -127.3849, 22.94097
-3.438511, 07/18/2019 12:27:46.745, -27.15174, -125.4891, 23.22124
-3.457706, 07/18/2019 12:27:46.762, -26.83697, -123.5051, 23.69403
-3.472921, 07/18/2019 12:27:46.776, -27.61196, -121.7598, 23.36405
-3.483822, 07/18/2019 12:27:46.792, -27.10934, -119.6646, 24.12814
-3.489978, 07/18/2019 12:27:46.806, -28.09553, -117.9466, 23.61936
-3.490849, 07/18/2019 12:27:46.821, -26.88549, -115.7554, 24.60468
-3.486377, 07/18/2019 12:27:46.836, -28.03591, -114.2393, 23.39911
-3.476398, 07/18/2019 12:27:46.852, -26.97767, -112.0052, 24.55951
-3.4606, 07/18/2019 12:27:46.865, -28.62717, -110.4367, 23.51707
-3.439288, 07/18/2019 12:27:46.881, -28.69566, -108.0181, 25.18788
-3.412624, 07/18/2019 12:27:46.896, -27.11231, -106.0096, 25.28304
-3.38067, 07/18/2019 12:27:46.912, -27.243, -104.5591, 23.73164
-3.34401, 07/18/2019 12:27:46.926, -27.39, -102.64, 23.89899
-3.30311, 07/18/2019 12:27:46.940, -29.01987, -100.7007, 24.08689
-3.258367, 07/18/2019 12:27:46.956, -28.27852, -98.23606, 25.7615
-3.210514, 07/18/2019 12:27:46.973, -27.54885, -96.45339, 25.06801
-3.160205, 07/18/2019 12:27:46.987, -28.49178, -94.72027, 24.38864
-3.108055, 07/18/2019 12:27:47.002, -28.1456, -92.46535, 25.38373
-3.054816, 07/18/2019 12:27:47.018, -27.63308, -90.57475, 25.09078
