Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
-3.106404, 07/18/2019 02:07:27.348, -5.978394, -0.7266687, 3.370609
-2.580413, 07/18/2019 02:07:27.363, -5.404358, -0.5588505, 3.39798
-2.112966, 07/18/2019 02:07:27.376, -5.42799, -0.5299093, 3.291392
-1.702928, 07/18/2019 02:07:27.389, -5.12907, -0.3780814, 3.725062
-1.348596, 07/18/2019 02:07:27.405, -5.068302, -0.3516305, 3.780474
-1.049262, 07/18/2019 02:07:27.419, -5.301361, -0.2485248, 4.01904
-0.800371, 07/18/2019 02:07:27.433, -4.563503, -0.1100825, 4.50099
-0.596928, 07/18/2019 02:07:27.446, -4.392872, -0.1975112, 3.966575
-0.435104, 07/18/2019 02:07:27.461, -3.821526, -0.08286904, 3.957768
-0.30904, 07/18/2019 02:07:27.475, -3.211327, -0.1110767, 3.512486
-0.21282, 07/18/2019 02:07:27.489, -2.724552, -0.1164356, 2.998507
-0.141854, 07/18/2019 02:07:27.504, -1.861782, -0.1027977, 2.582698
-0.090825, 07/18/2019 02:07:27.518, -1.612358, -0.1870109, 1.770957
-0.05528601, 07/18/2019 02:07:27.532, -1.146469, -0.1212157, 1.557072
